KBK;OKVJeD; OKDP;Uslovija kontrakta: № zakaza (№lota);Uslovija kontrakta: Naimenovanie predmeta kontrakta;Uslovija kontrakta:Minimal'no neobhodimye trebovanija, pred#javljaemye k predmetu kontrakta ;Uslovija kontrakta: Edinica izmerenija;Uslovija kontrakta: Kolichestvo (ob#em);Uslovija kontrakta: Nachal'naja (maksimal'naja) cena kontrakta (v tys. rublej);Uslovija kontrakta: Razmer obespechenija zajavki (v tys. rublej) / razmer obespechenija ispolnenija kontrakta (v tys. rublej);Grafik osushhestvlenija procedur zakupki: srok razmeshhenija zakaza (mes., god);Grafik osushhestvlenija procedur zakupki: srok ispolnenija kontrakta (mes., god);Sposob razmeshhenija zakaza;Obosnovanie vnesenija izmenenij
1,03040824800192E+019;64.20;6420000;98;Okazanie uslug telegrafnoj svjazi;Okazanie uslug telegrafnoj svjazi;Kompleks uslug;1;100;-;07.2015г.;08.2015г.;Edinstvennyj postavshhik;-
"103 04 08 2149999
244 310
";33.20.2;3221170;99;Postavka oborudovanija kontrol'no-korrektirujushhih stancij dlja formirovanija i peredachi differencial'nyh popravok global'nyh navigacionnyh sputnikovyh sistem. Shifr: «KKS-Reka-More-Port»;Postavka chetyreh kompleksov oborudovanija kontrol'no-korrektirujushhej stancii;sht.;1;144030;1440,3 / 43209 / 30;06.2015г;11.2015г;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;30.01.;3000000;100;Postavka zapasnyh chastej dlja orgtehniki;Postavka zapasnyh chastej dlja orgtehniki;sht.;1;100;-;06.2015г.;06.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;101;Postavka zapasnyh chastej dlja orgtehniki;Postavka zapasnyh chastej dlja orgtehniki;sht.;1;100;-;07.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;102;Postavka zapasnyh chastej dlja orgtehniki;Postavka zapasnyh chastej dlja orgtehniki;sht.;1;100;-;07.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03041108599992E+019;73.20;73.20.15.990;103;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Provedenie nauchnyh issledovanij, razrabotka uslovij i trebovanij po normativno-pravovomu obespecheniju vnedrenija i razvitija servisov intellektual'nyh transportnyh sistem v sfere obespechenija bezopasnosti dorozhnogo dvizhenija, povyshenija kachestva funkcionirovanija regional'nyh transportnyh sistem i raboty avtomobil'nogo transporta"". Shifr:  № 15/2/2/01";Analiz peredovogo otechestvennogo i zarubezhnogo opyta razvitija informacionnyh tehnologij v sfere obespechenija bezopasnosti dorozhnogo dvizhenija, povyshenja kachestva funkcionirovanija regional'nyh transportnyh sistem i raboty avtomobil'nogo transporta, vkljuchaja normativno-pravovoe, normativno-tehnicheskoe i tehnologicheskoe obespechenie vnedrenija i razvitija servisov ITS, vkljuchaja ASUDD razrabotka trebovanij po obespecheniju bezopasnosti dorozhnogo dvizhenija, povysheniju kachestva funkcionirovanija regional'nyh transportnyh sistem i raboty avtomobil'nogo transporta posredstvom ispol'zovanija servisov ITS razrabotka predlozhenij po sostavu i soderzhaniju normaivno-pravovoj, normativno-tehnicheskoj i metodicheskoj bazy vnedrenija i razvitija servisov ITS, napravlennyh na obespechenie bezopasnosti dorozhnogo dvizhenija, povyshenie kachestva funkcionirovanija regional'nyh transportnyh sistem i raboty avtomobil'nogo transporta.                                                                                                              V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                  ;sht;1;10000;500/1000/0;июн.15;дек.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;104;"Vypolnenie opytno-konstruktorskoj raboty po teme «Sozdanie sistemy upravlenija transportnymi i drugimi tehnicheskimi sredstvami, primenjaemymi v sisteme sel'skogo hozjajstva s ispol'zovaniem sistem GLONASS/GPS».                               Shifr: OKR ""Niva-Avto""";Razrabotka tehnicheskogo proekta opytnogo obrazca mnogourovnevoj centralizovannoj avtomatizirovannoj sistemy upravlenija transportnymi i drugimi tehnicheskimi sredstvami, primenjaemymi v sisteme sel'skogo hozjajstva s ispol'zovaniem sistem GLONASS/GPS (dalee-Sistema) komplekt dokumentacii tehnicheskogo proekta opytnogo obrazca Sistemy predlozhenija po vyboru opytnogo poligona dlja razvertyvanija opytnogo obrazca Sistemy otchet o sozdanii pervoj ocheredi opytnogo obrazca Sistemy.                                                                                                V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                ;sht;1;16000;800,0/1600,0/0;июл.15;ноя.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;105;"Vypolnenie opytno-konstruktorskoj raboty po teme «Sozdanie sistemy upravlenija dvizheniem zheleznodorozhnyh transportnyh sredstv na malodejatel'nyh napravlenijah, funkcionirujushhej s ispol'zovaniem sputnikovyh navigacionnyh tehnologij GLONASS/GPS/GALILEO i cifrovyh sistem svjazi».                                                                                               Shifr: OKR ""Dvizhenie-MD"""; Tehnicheskie trebovanija k abonentskim terminalam SKUZhDP  na MDZhL i pod#ezdnyh putjah promyshlennyh predprijatij s primeneniem sistem sputnikovoj navigacii GLONASS/GPS/GALILEO i cifrovyh sistem svjazi,  prednaznachennym dlja ustanovki na zheleznodorozhnyh transportnyh sredstvah tehnicheskie trebovanija k maketnym obrazcam programmnyh i apparatnyh sredstv vzaimodejstvija abonentskih terminalov SKUZhDP  na MDZhL i pod#ezdnyh putjah promyshlennyh predprijatij i SKUZhDP  na MDZhL i pod#ezdnyh putjah promyshlennyh predprijatij i nadzora na transporte. Rabochaja konstruktorskaja dokumentacija (RKD) na izgotovlenie opytnyh obrazcov abonentskih terminalov sistemy «Gonec-D1M» jeskiznye i tehnicheskie proekty  abonentskih terminalov SKUZhDP  na MDZhL i pod#ezdnyh putjah promyshlennyh predprijatij, programmnyh i apparatnyh sredstv vzaimodejstvija abonentskih terminalov SKUZhDP  na MDZhL i pod#ezdnyh putjah promyshlennyh predprijatij.   V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                ;sht;1;14000;700,0/1400,0/0;июл.15;ноя.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;106;"Vypolnenie opytno-konstruktorskoj raboty po teme ""Sozdanie sistemy upravlenija dvizheniem zheleznodorozhnyh sostavov v sootvetstvii so standartami ERTMS/ETCS uroven' 3, funkcionirujushhej s ispol'zovaniem sistem GLONASS/GPS/GALILEO"".                      Shifr: OKR ""Upravlenie - ZhD"""; Tehnicheskie trebovanija k opytnym obrazcam   bortovogo upravljajushhego kompleksa sistemy   upravlenija dvizheniem zheleznodorozhnyh sostavov v sootvetstvii so standartami ERTMS/ETCS (uroven' 3), funkcionirujushhej s ispol'zovaniem sistem GLONASS/GPS/GALILEO i cifrovyh sistem svjazi,  prednaznachennym dlja ustanovki na zheleznodorozhnyh transportnyh sredstvah tehnicheskie trebovanija k  opytnym obrazcov apparatno-programmnyh kompleksov Centra upravlenija podvizhnym sostavom tehnicheskie trebovanija  k opytnym  obrazcam avtonomnyh schetchikov osej.   V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                ;sht;1;25000;1250,0/2500,0/0;июл.15;ноя.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;107;"Vypolnenie opytno-konstruktorskoj raboty po teme ""Sozdanie mnogourovnevoj sistemy kontrolja i upravlenija zheleznodorozhnymi perevozkami opasnyh gruzov s ispol'zovaniem sistem GLONASS/GPS/GALILEO"".                                               Shifr: OKR ""Specmonitoring - ZhD""";Jeskiznyj proekt sistemy kontrolja i upravlenija zheleznodorozhnymi perevozkami opasnyh gruzov, s ispol'zovaniem sistem GLONASS/GPS/GALILEO (dalee - Sistema) prototip SPO Sistemy 1-j ocheredi predlozhenija po sostavu i strukture kompleksa pervoocherednyh normativno-tehnicheskih dokumentov, obespechivajushhih vnedrenie i jekspluataciju Sistemy tehnicheskij proekt Sistemy prototip SPO Sistemy 2-j ocheredi stend Glavnogo konstruktora Sistemy pervye redakcii pervoocherednyh normativno-tehnicheskih dokumentov proekt tehnicheskogo zadanija na sozdanie opytnogo obrazca Sistemy v pilotnoj zone.    V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                ;sht;1;30000;1500,0/3000,0/0;июл.15;ноя.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;108;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Issledovanija po sozdaniju integrirovannoj sistemy navigacii i posadki vozdushnyh sudov na osnove kompleksnoj obrabtki informacii sistem GLONASS/GPS, nazemnoj sistemy funkcional'nogo dopolnenija GBAS i opticheskogo mul'tidiapazonnogo navigacionnogo kanala"".                                                                         Shifr: NIR ""Avia-Locman""";Nauchno obosnovannye predlozhenija po strukture i soderzhaniju proekta kvalifikacionnyh trebovanij k bortovomu segmentu programmno-apparatnogo kompleksa navigacii i posadki ISNP.                                                                                                                                                                                      ;sht;1;4000;0/400,0/0;авг.15;ноя.15;Edinstvennyj postavshhik;-
1,03041121499992E+019;73.10;73.10.13.000;109;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Provedenie kompleksnyh issledovanij ispol'zovanija global'nyh navigacionnyh sputnikovyh sistem GLONASS/GPS dlja obespechenija procedur zonal'noj navigacii na vozdushnyh trassah i v rajone ajerodroma, razrabotka procedur i shem, sootvetstvujushhih mezhdunarodnym standartam».                                                                Shifr: NIR «Avia-ZNAV-GNSS».";Razrabotka shem manevrirovanija (standartnye shemy prileta/vyleta i zahoda na posadku), osnovannye na zonal'noj navigacii i tradicionnyh sredstvah navedenija, dlja ajerodromov Habarovsk (Novyj), Berezovo.                                                                                                                                                                                         ;sht;1;3000;0/300,0/0;авг.15;ноя.15;Edinstvennyj postavshhik;-
1,03041121499992E+019;73.10;73.10.13.000;110;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Utochnenie  programm vnedrenija sputnikovyh navigacionnyh sistem na baze sistemy GLONASS               na nazemnom avtomobil'nom i gorodskom jelektricheskom transporte i v dorozhnom hozjajstve"".                                                               Shifr: NIR ""Vnedrenie-Avto"" ";Otchet, soderzhashhij vyvody iz analiza rezul'tatov vnedrenija sputnikovyh navigacionnyh sistem na baze sistemy GLONASS, prognoz razvitija tehnologij sputnikovoj navigacii GLONASS, predlozhenija po utochneniju programm vnedrenija sputnikovyh navigacionnyh sistem na baze sistemy GLONASS na nazemnom avtomobil'nom i gorodskom jelektricheskom transporte i vdorozhnom hozjajstve                                                                                                       .    V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                                                                                                          ;sht;1;3000;150,0/300,0/0;июл.15;ноя.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;111;"Vypolnenie opytno-konstruktorskoj raboty po teme ""Sozdanie opytnyh obrazcov tipovyh programmno-tehnicheskih reshenij i razvertyvanie pilotnoj zony navigacionno-informacionnoj sistemy monitoringa sostojanija krupnyh inzhenernyh sooruzhenij transportnoj infrastruktury s ispol'zovaniem tehnologij GLONASS"".                                                       Shifr: OKR ""Obrazec KIS""";Opytnyj obrazec Sistemy v sostave opytnyh obrazcov tipovyh APK NISMSKIS Federal'nogo centra i Centa federal'nogo okruga, a takzhe opytnogo obrazca tipovogo programmnogo kompleksa NISMSKIS Centra urovnja territorial'nogo podrazdelenija Rostransnadzora RKD, JeD, PD i SPO opytnogo obrazca Sistemy programma i metodiki ispytanij opytnogo obrazca Sistemy akt i protokoly predvaritel'nyh avtonomnyh ispytanij oborudovanija opytnogo obrazca Sistemy na stende Glavnogo konstruktora Sistemy otkorrektirovannye RKD, JeD, PD i SPO.  V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                                                                                                          ;sht;1;53407,8;2670,39/    5340,78;июл.15;ноя.15;Otkrytyj konkurs;-
1,03040824800192E+019;30.01.;3000000;113;Postavka sredstv vychislitel'noj tehniki;13 planshetnyh komp'juterov;sht.;13;478,74;4,7874229 / 143,622687 / 0;07.2015г;07.2015г;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;114;Okazanie uslug mestnoj telefonnoj svjazi ;Okazanie uslug mestnoj telefonnoj svjazi;Kompleks uslug;1;100;-;07.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;115;Postavka orgtehniki;Vysokotehnologichnye ustrojstva pechati i skanirovanija;sht.;1;1557,13;15,57134 / 467,1402 / 0;07.2015г.;08.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;45.21.10;4529000;116;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;430,7;4,30701 / 129,2103 / 0;07.2015г.;08.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;74.70.1;117;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;07.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;118;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;07.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03041121499992E+019;73.10;73.10.13.000;119;Vypolnenie opytno-konstruktorskoj raboty  po teme «Sozdanie s ispol'zovaniem apparatury navigacionnoj sputnikovoj sistemy GLONASS apparatno-programmnogo kompleksa sistemy monitoringa sostojanija potencial'no opasnyh gidrotehnicheskih sooruzhenij (ob#ektov), nahodjashhihsja v vedenii gosudarstvennyh bassejnovyh upravlenij vnutrennih vodnyh putej i sudohodstva Rossijskoj Federacii».                                            Shifr: OKR «APK SMGTS» ;Razrabotka RKD APK SMGTS otraslevogo urovnja, RKD APK SMGTS regional'nogo urovnja, RKD APK SMGTS ob#ektovogo urovnja, jelementy opytnogo obrazca APK SMGTS, v sostave server APK SMGTS ob#ektovogo urovnja, server APK SMGTS otraslevogo urovnja, server APK SMGTS regional'nogo urovnja, opornaja stancija GNSS s antenno-fidernym ustrojstvom.                                                                    V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                                           ;sht;1;45000;2250,0/4500,0/0;июл.15;ноя.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;120;"Vypolnenie opytno-konstruktorskoj raboty  po teme ""Sozdanie integrirovannoj sistemy navigacii i posadki vozdushnyh sudov na osnove kompleksnoj obrabotki informacii sistem GLONASS/GPS, nazemnoj sistemy funkcional'nogo dopolnenija GBAS i opticheskogo mul'tidiappazonnogo navigacionnogo kanala"".                                                           Shifr: OKR ""Avia-Locman""";"Dorabotka RKD litery ""O"" dlja izgotovlenija opytnogo obrazca apparatury integrirovannoj sistemy navigacii i posadki ISNP (nazemnoj sistemy i opticheskogo mul'tidiappazonnogo navigacionnogo kanala). Razrabotka i izgotovlenie stenda ispytatel'nogo dlja ocenki parametrov sistemy ISNP. Dorabotka opytnogo obrazca ISNP. Provedenie predvaritel'nyh ispytanij opytnogo obrazca. Dorabotka RKD po rezul'tatam predvaritel'nyh ispytanij opytnogo obrazca ISNP. Dorabotka stenda ispytatel'nogo dlja ocenki parametrov sistemy ISNP. Dorabotka opytnogo obrazca ISNP po rezul'tatam predvaritel'nyh ispytanij. Provedenie priemochnyh ispytanij opytnogo obrazca ISNP.                                                                         V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                        ";sht;1;71 000,00/   35 000,00;0/17750,00/25;авг.15;11.2015   10.2016;Edinstvennyj postavshhik;-
103 04 11 2480019 241 226;73.10;73.10.13.000;121;"Vypolnenie opytno-konstruktorskoj raboty po teme: ""Razvitie programmno-apparatnyh kompleksov avtomatizirovannyh sistem podgotovki i obespechenija ajeronavigacionnoj informaciej aviacionnoj apparatury potrebitelej GLONASS"". Shifr: OKR ""Avia-ANI-II""";Izgotovlenie opytnogo obrazca PAK GBD ANI razrabotka programmy i metodiki predvaritel'nyh ispytanij opytnogo obrazca PAK GBD ANI provedenie predvaritel'nyh ispytanij opytnogo obrazca PAK GBD ANI, korrektirovka rabochej konstruktorskoj i programmnoj dokumentacii PAK GBD ANI.   Izgotovlenie opytnogo obrazca FiR PAK ANI razrabotka programmy i metodiki predvaritel'nyh ispytanij opytnogo obrazca FiR PAK ANI provedenie predvaritel'nyh ispytanij opytnogo obrazca FiR PAK ANI korrektirovka rabochej konstruktorskoj i programmnoj dokumentacii FiR PAK ANI, razrabotka programmy i metodiki priemochnyh ispytanij opytnyh obrazcov APAK ANI, FiR PAK ANI i PAK GBD ANI, provedenie priemochnyh ispytanij opytnyh obrazcov APAK ANI, FiR PAK ANI i PAK GBD ANI korrektirovka rabochej konstruktorskoj i programmnoj dokumentacii APAK ANI, FiR PAK ANI i PAK GBD ANI.                                                                   V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                      ;sht;1;30 000,00/  20 000,00;0/7500,00/25;авг.15;11.2015 10.2016;Edinstvennyj postavshhik;-
103 04 08 2149999   244 226;74.20;72.40.13.190;122;"Vypolnenie rabot po teme ""Vypolnenie geodezicheskih rabot po obespecheniju navigacionnoj apparatury potrebitelej GLONASS massivami cifrovoj informacii o mestnosti i prepjatstvijah v rajonah ajerodromov Rossijskoj Federacii"". Shifr: ""Avia-Geos#emka-A-2015""";Vypolnenie geodezicheskih rabot po sozdaniju massivov cifrovoj informacii o mestnosti i prepjatstvijah v rajonah ajerodromov: Irkutsk, Mineral'nye vody, Mahachkala (Ujtash), sformirovannyh v edinuju bazu dannyh ajeronavigacionnoj informacii, otvechajushhuju dejstvujushhim nacional'nym i mezhdunarodnym standartam, s uchetom perspektivnyh trebovanij po obespecheniju bezopasnosti poletov.                                                         V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                        ;sht;1;15000;0/3750,00/ 25%;авг.15;ноя.15;Edinstvennyj postavshhik;-
1,03041121499992E+019;73.10;73.10.13.000;123;"Vypolnenie nauchno-issledovatel'skoj raboty po teme: «Razrabotka nacional'nyh standartov s cel'ju mezhdunarodnoj i vnutrirossijskoj standartizacii sistemy GLONASS i ee funkcional'nyh dopolnenij». Shifr: NIR ""Avia-Standart-2""";Analiz sposobov i uslovij primenenija opticheskih sredstv podderzhki bortovogo oborudovanija sputnikovoj navigacii GLONASS/GPS/GBAS, ustanavlivaemogo na VS otechestvennogo i zarubezhnogo proizvodstva, soglasovannye nauchno obosnovannye predlozhenija po strukture i soderzhaniju KT k bortovoj apparature OJeSP sistemy sputnikovoj navigacii GLONASS/GPS i funkcional'nyh dopolnenij GLONASS/GPS/GBAS.                                                           ;sht;1;2700;135,00/270,00/0;июл.15;окт.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;124;"Vypolnenie nauchno-issledovatel'skoj raboty po teme: ""Razrabotka nauchno obosnovannyh predlozhenij dlja sovershenstvovanija normativnoj tehnicheskoj bazy, regulirujushhej razrabotku, vnedrenie i ispol'zovanie apparatury sputnikovoj navigacii GLONASS/GPS, sistem avtomaticheskogo zavisimogo nabljudenija i sputnikovogo monitoringa i kontrolja mestopolozhenija na vozdushnyh sudah grazhdanskoj aviacii"". Shifr: NIR ""Issledovanie-Norma-Transport-AZN""";Nauchno obosnovannye predlozhenija po strukture i soderzhaniju proekta jekspluatacionnyh trebovanij k bortovym i nazemnym segmentam sistem AZN i SMKM nauchno obosnovannye predlozhenija po organizacii vzaimodejstvija dispetcherskih sluzhb aviakompanij s centrami po organizacii aviacionno-kosimcheskogo poiska i spasenija na osnovanii dannyh, poluchennyh s ispol'zovaniem sistem AZN i SMKM tezniko-jekonomicheskoe obosnovanie jeffektivnosti vnedrenija sistem AZN i SMKM, obespechivajushhih peredachu aviakompanijam informacii o mestopolozhenii vozdushnogo sudna nauchno obosnovannye predlozhenija po korrektirovke federal'nyh aviacionnyh pravil v chasti oborudovanija VS sistemami AZN i SMKM i organizacii opoveshhenija o mestopolozhenii VS, poterpevshego bedstvie, na osnovanii dannyh. poluchennyh ot sistem AZN i SMKM.                                                                                                                ;sht;1;7 500, 00;375,00/750,00/0;июл.15;окт.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;125;"Vypolnenie opytno-konstruktorskoj raboty po teme:""Sozdanie sistemy postroenija i ispol'zovanija trehmernyh cifrovyh modelej mestnosti dlja proektirovanija, rekonstrukcii i kontrolja sostojanija ob#ektov dorozhnoj infrastruktury s ispol'zovaniem sputnikovyh navigacionnyh tehnologij GLONASS/GPS"".                                        Shifr: OKR ""CMM-Doroga""";Na 1 jetape: TP opytnogo obrazca Sistemy: RKD, PD, JeD i prototip SPO opytnogo obrazca Sistemy v chasti APK-M i APK-OD: proekt struktury BD edinogo banka dannyh ZD CMM ODI: programma i metodiki avtonomnyh ispytanij APK-M i APK-OD.   Na 2 jetape: APK-M i APK-OD: SPO SPK-M i APK-OD: akt i protokoly avtonomnyh ispytanij APK-M i APK-OD: otkorrektirovannye komplekty RKD, JeD, PD i SPO opytnogo obrazca Sistemy v chasti APK-M i APK-OD, dorabotannye APK-M i APK-OD: RKD, JeD, PD i SPO opytnogo obrazca Sistemy v chasti APK-C. Na 3 jetape: APK-C: akt i protokoly avtonomnyh ispytanij APK-C: otkorrektirovannye komplekty RKD, JeD, PD i SPO opytnogo obrazca Sistemy v chasti APK-C, dorabotannyj APK-C. Na 4 jetape: zhurnal opytnoj jekspluatacii opytnogo obrazca Sistemy: otkorrektirovannye komplekty RKD, PD, JeD i SPO opytnogo obrazca Sistemy, dorabotannyj opytnyj obrazec Sistemy.                                                                            V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                     ;sht;1;82 076,54/       28 711,62;4 103,83/8 207,65/0;июл.15;11.2015  08.2016  07.2017  11.2017;Otkrytyj konkurs;-
1,03040824800192E+019;70.32.2;74.70.1;128;Uslugi po pogruzke-razgruzke;Uslugi po pogruzke-razgruzke;Kompleks uslug;1;100;-;07.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;129;Uslugi po pogruzke-razgruzke;Uslugi po pogruzke-razgruzke;Kompleks uslug;1;100;-;07.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03041108599992E+019;73.20;73.20.15.990;130;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Provedenie nauchnyh issledovanij, razrabotka uslovij i trebovanij po normativno-pravovomu obespecheniju vnedrenija i razvitija servisov intellektual'nyh transportnyh sistem v sfere obespechenija bezopasnosti dorozhnogo dvizhenija, povyshenija kachestva funkcionirovanija regional'nyh transportnyh sistem i raboty avtomobil'nogo transporta"". Shifr:  № 15/2/2/01";Analiz peredovogo otechestvennogo i zarubezhnogo opyta razvitija informacionnyh tehnologij v sfere obespechenija bezopasnosti dorozhnogo dvizhenija, povyshenja kachestva funkcionirovanija regional'nyh transportnyh sistem i raboty avtomobil'nogo transporta, vkljuchaja normativno-pravovoe, normativno-tehnicheskoe i tehnologicheskoe obespechenie vnedrenija i razvitija servisov ITS, vkljuchaja ASUDDrazrabotka trebovanij po obespecheniju bezopasnosti dorozhnogo dvizhenija, povysheniju kachestva funkcionirovanija regional'nyh transportnyh sistem i raboty avtomobil'nogo transporta posredstvom ispol'zovanija servisov ITS razrabotka predlozhenij po sostavu i soderzhaniju normaivno-pravovoj, normativno-tehnicheskoj i metodicheskoj bazy vnedrenija i razvitija servisov ITS, napravlennyh na obespechenie bezopasnosti dorozhnogo dvizhenija, povyshenie kachestva funkcionirovanija regional'nyh transportnyh sistem i raboty avtomobil'nogo transporta.                                                                                                              V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                  ;sht;1;10000;100/1000/0;июл.15;дек.15;Otkrytyj konkurs;-
1,03040824800192E+019;70.32.2;74.70.1;131;Uslugi po pogruzke-razgruzke;Uslugi po pogruzke-razgruzke;Kompleks uslug;1;100;-;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;132;Uslugi po pogruzke-razgruzke;Uslugi po pogruzke-razgruzke;Kompleks uslug;1;100;-;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;133;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu;Kompleks uslug;1;40;-;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;134;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
